Date,Profit/Losses
10-Jan,867884
10-Feb,984655
10-Mar,322013
10-Apr,-69417
10-May,310503
10-Jun,522857
10-Jul,1033096
10-Aug,604885
10-Sep,-216386
10-Oct,477532
10-Nov,893810
10-Dec,-80353
11-Jan,779806
11-Feb,-335203
11-Mar,697845
11-Apr,793163
11-May,485070
11-Jun,584122
11-Jul,62729
11-Aug,668179
11-Sep,899906
11-Oct,834719
11-Nov,132003
11-Dec,309978
12-Jan,-755566
12-Feb,1170593
12-Mar,252788
12-Apr,1151518
12-May,817256
12-Jun,570757
12-Jul,506702
12-Aug,-1022534
12-Sep,475062
12-Oct,779976
12-Nov,144175
12-Dec,542494
13-Jan,359333
13-Feb,321469
13-Mar,67780
13-Apr,471435
13-May,565603
13-Jun,872480
13-Jul,789480
13-Aug,999942
13-Sep,-1196225
13-Oct,268997
13-Nov,-687986
13-Dec,1150461
14-Jan,682458
14-Feb,617856
14-Mar,824098
14-Apr,581943
14-May,132864
14-Jun,448062
14-Jul,689161
14-Aug,800701
14-Sep,1166643
14-Oct,947333
14-Nov,578668
14-Dec,988505
15-Jan,1139715
15-Feb,1029471
15-Mar,687533
15-Apr,-524626
15-May,158620
15-Jun,87795
15-Jul,423389
15-Aug,840723
15-Sep,568529
15-Oct,332067
15-Nov,989499
15-Dec,778237
16-Jan,650000
16-Feb,-1100387
16-Mar,-174946
16-Apr,757143
16-May,445709
16-Jun,712961
16-Jul,-1163797
16-Aug,569899
16-Sep,768450
16-Oct,102685
16-Nov,795914
16-Dec,60988
17-Jan,138230
17-Feb,671099
